"Inbound No","STO No","ASN No","Inbound Location","PO No","GRN No","Created Date","GRN Date","Material Received Date","GRN Value","Inbound Type","Invoice No","Vendor Code","SKU Code","SKU Name","Lot Code","Transporter Name","Tracking No","Lot MRP","Lot Expiry","Bin Location","Unit Price","MRP","Recieved Qty","Expected Qty","Lottable 03","Lottable 04","Lottable 05","Lottable 06","Lottable 07","Vendor SKU Code","Brand","Damage Qty","Putaway Done","GRN Value Without Tax","GRN Value With Tax","IgpCode ","INBD_COST","Open Qty","Status","TaxGrpCode","LineTaxamount","External PO Code","Userid","Cust Ret No"
"PGN000001530","","","PJTJ PGN Delhivery","PGN1765","PGN000001530","28/03/2022 10:58 PM","28/03/2022 11:12 PM","28/03/2022 12:00 AM","285672.54","With PO",".PJTJ/INV/0028724","1N60001411 - PJTJ TECHNOLOGIES PRIVATE LIMITED","5445","LAYS POTATO CHIPS - CHILE LIMON 52GM","PGN000011389","","","20","15/07/2022 12:00 AM","STAGING","17.85700","20.00000","3150.000","3150.000","","","","","","5445","Top100","0.000","Yes","49218.75","55125.00","PGN000000008","15.62500","0.000","Confirmed","5004","5906.25","PGN1765","Inbound5",""
"PGN000001530","","","PJTJ PGN Delhivery","PGN1765","PGN000001530","28/03/2022 10:58 PM","28/03/2022 11:12 PM","28/03/2022 12:00 AM","285672.54","With PO",".PJTJ/INV/0028724","1N60001411 - PJTJ TECHNOLOGIES PRIVATE LIMITED","713","LAYS SPANISH TOMATO TANGO CHIPS 115G POUCH","PGN000011392","","","50","22/08/2022 12:00 AM","STAGING","44.64300","50.00000","550.000","750.000","","","","","","713","Top 100-400","0.000","Yes","21484.65","24062.81","PGN000000008","39.06300","200.000","Confirmed","5004","2578.16","PGN1765","Inbound5",""
"PGN000001530","","","PJTJ PGN Delhivery","PGN1765","PGN000001530","28/03/2022 10:58 PM","28/03/2022 11:12 PM","28/03/2022 12:00 AM","285672.54","With PO",".PJTJ/INV/0028724","1N60001411 - PJTJ TECHNOLOGIES PRIVATE LIMITED","2214","HALDIRAMS NIMBU MASALA 200G POUCH","PGN000011391","","","44","11/08/2022 12:00 AM","STAGING","39.28600","44.00000","560.000","560.000","","","","","","2214","Default","0.000","Yes","22249.92","24919.91","PGN000000008","39.73200","0.000","Confirmed","5004","2669.99","PGN1765","Inbound5",""
"PGN000001530","","","PJTJ PGN Delhivery","PGN1765","PGN000001530","28/03/2022 10:58 PM","28/03/2022 11:12 PM","28/03/2022 12:00 AM","285672.54","With PO",".PJTJ/INV/0028724","1N60001411 - PJTJ TECHNOLOGIES PRIVATE LIMITED","1141","LAYS INDIAS MAGIC MASALA CHIPS 115G POUCH","PGN000011390","","","50","22/08/2022 12:00 AM","STAGING","37.76800","50.00000","4150.000","4150.000","","","","","","1141","Top 100-400","0.000","Yes","162111.45","181564.82","PGN000000008","39.06300","0.000","Confirmed","5004","19453.37","PGN1765","Inbound5",""
