"Inbound No","STO No","ASN No","Inbound Location","PO No","GRN No","Created Date","GRN Date","Material Received Date","GRN Value","Inbound Type","Invoice No","Vendor Code","SKU Code","SKU Name","Lot Code","Transporter Name","Tracking No","Lot MRP","Lot Expiry","Bin Location","Unit Price","MRP","Recieved Qty","Expected Qty","Lottable 03","Lottable 04","Lottable 05","Lottable 06","Lottable 07","Vendor SKU Code","Brand","Damage Qty","Putaway Done","GRN Value Without Tax","GRN Value With Tax","IgpCode ","INBD_COST","Open Qty","Status","TaxGrpCode","LineTaxamount","External PO Code","Userid","Cust Ret No"
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7073","MAYA SALT SENDHAV 100GM","SDL000005740","","","12","22/09/2022 12:00 AM","STAGING","8.08700","9.80000","70.000","70.000","","","","","","7073","Default","0.000","No","566.30","566.30","SDL000001109","8.09000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7092","MAYA WHO SPICE MUSTARD SMALL 100G","SDL000005789","","","20","22/09/2022 12:00 AM","STAGING","12.67400","16.00000","60.000","60.000","","","","","","7092","Default","0.000","No","760.20","798.21","SDL000001109","12.67000","0.000","Confirmed","5003","38.01","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7010","MAYA CHANA DAL PREMIUM 500G","SDL000005756","","","60","19/09/2022 12:00 AM","STAGING","40.26800","62.00000","60.000","60.000","","","","","","7010","B1","0.000","No","2416.20","2416.20","SDL000001109","40.27000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7094","MAYA WHO SPICE KHUSKHUS 50G","SDL000005813","","","186","26/09/2022 12:00 AM","STAGING","118.12600","130.00000","50.000","50.000","","","","","","7094","Default","0.000","No","5906.00","6201.30","SDL000001109","118.12000","0.000","Confirmed","5003","295.30","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7064","MAYA BASMATI MOGRA RICE 5 KG","SDL000005686","","","372","22/03/2023 12:00 AM","STAGING","248.22000","315.00000","126.000","155.000","","","","","","7064","Default","0.000","No","31275.72","31275.72","SDL000001109","248.22000","10.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7097","MAYA WHO SPICE BLACK PEPPER/KALI MIRCH 50G","SDL000005707","","","68","22/09/2022 12:00 AM","STAGING","43.05000","48.00000","70.000","70.000","","","","","","7097","Default","0.000","No","3013.50","3164.18","SDL000001109","43.05000","0.000","Confirmed","5003","150.68","PGN1341","Joginder",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7090","MAYA WHO SPICE DRY METHI 100G","SDL000005769","","","20","22/09/2022 12:00 AM","STAGING","12.97800","17.00000","60.000","60.000","","","","","","7090","Default","0.000","No","778.80","817.74","SDL000001109","12.98000","0.000","Confirmed","5003","38.94","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7034","MAYA WHO MAKHANA 100G","SDL000005658","","","99","22/09/2022 12:00 AM","STAGING","62.89500","121.00000","50.000","50.000","","","","","","7034","B1","0.000","No","3145.00","3302.25","SDL000001109","62.90000","0.000","Confirmed","5003","157.25","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7046","MAYA SABUDANA BIG 500G","SDL000005748","","","47","19/09/2022 12:00 AM","STAGING","29.59400","43.00000","120.000","120.000","","","","","","7046","Default","0.000","No","3551.28","3728.84","SDL000001109","29.59400","0.000","Confirmed","5003","177.56","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7051","MAYA GROUNDNUT 1KG","SDL000005794","","","200","11/09/2022 12:00 AM","PR-SHORT","132.88900","173.00000","20.000","60.000","","","","","","7051","Default","0.000","No","2657.78","2790.67","SDL000001109","132.88900","0.000","Confirmed","5003","132.89","PGN1341","Inbound2",""
